,industry_demand,allBidQuantity,allCurrentSOC,price
265,23.74,0.0,503.14,25.12
266,23.67,0.0,479.46999999999997,25.12
267,23.63,0.0,455.84,25.0
268,23.55,0.0,432.28999999999996,25.17
269,23.33,0.0,408.96,24.65
270,23.11,0.0,385.84999999999997,24.57
271,22.95,0.0,362.9,24.6
272,22.89,0.0,340.01,24.68
273,22.51,0.0,317.5,23.87
274,22.14,0.0,295.36,24.57
275,21.77,0.0,273.59000000000003,23.71
276,21.87,0.0,251.72000000000003,24.95
277,21.75,0.0,229.97000000000003,23.68
278,21.57,0.0,208.40000000000003,24.57
279,21.65,0.0,186.75000000000003,23.73
280,22.01,0.0,164.74000000000004,27.39
281,21.74,0.0,143.00000000000003,23.68
282,21.3,0.0,121.70000000000002,24.57
283,21.01,0.0,100.69000000000001,21.74
284,20.7,0.0,79.99000000000001,24.46
285,20.51,0.0,59.480000000000004,19.63
286,20.14,0.0,39.34,23.87
287,19.67,0.0,19.67,19.39
